,Accuracy,Precision,Recall,F1-Score,Precision_Low,Recall_Low,F1_Low,Precision_High,Recall_High,F1_High,ROC-AUC
SVM,0.957901554404145,0.957901554404145,0.957901554404145,0.957901554404145,0.9548611111111112,0.9548611111111112,0.9548611111111112,0.9605582524271845,0.9605582524271845,0.9605582524271845,0.9858157193905068
RF,0.9022020725388601,0.9024021839233881,0.9022020725388601,0.9022475241004517,0.8886612021857924,0.9034722222222222,0.8960055096418733,0.9144088669950738,0.9010922330097088,0.9077017114914425,0.9676554493662353
KNN,0.8588082901554405,0.858745793851088,0.8588082901554405,0.8587477326456101,0.8530239099859352,0.8423611111111111,0.8476589797344515,0.8637454981992797,0.8731796116504854,0.8684369342184671,0.9324328310409924
GB,0.8775906735751295,0.8776166825449504,0.8775906735751295,0.8774699078918744,0.8787446504992867,0.8555555555555555,0.8669950738916257,0.8766310794780545,0.8968446601941747,0.886622675464907,0.9485398968446601
DT,0.8235103626943006,0.8238802834290931,0.8235103626943006,0.8236122520415036,0.8042148198504419,0.8215277777777777,0.81277911370663,0.8410636982065554,0.8252427184466019,0.8330781010719756,0.8233852481121899
