,Accuracy,Precision,Recall,F1-Score,Precision_Low,Recall_Low,F1_Low,Precision_High,Recall_High,F1_High,ROC-AUC
SVM,0.9747409326424871,0.9747547690948477,0.9747409326424871,0.9747441568850455,0.970954356846473,0.975,0.972972972972973,0.9780755176613886,0.9745145631067961,0.9762917933130699,0.9881428246359223
RF,0.9044689119170984,0.9047057106868769,0.9044689119170984,0.9045180396938672,0.8902522154055896,0.9069444444444444,0.8985208118335053,0.9173349784083898,0.9023058252427184,0.9097583358825329,0.9697469997303128
KNN,0.9028497409326425,0.9029709092167505,0.9028497409326425,0.9027420610586513,0.907725321888412,0.88125,0.8942917547568711,0.8988165680473372,0.9217233009708737,0.9101258238466148,0.9646117769012946
GB,0.9268134715025906,0.9269293091262427,0.9268134715025906,0.9268398196402116,0.9163237311385459,0.9277777777777778,0.9220151828847482,0.9361963190184049,0.9259708737864077,0.9310555216595485,0.9761040318230852
DT,0.8319300518134715,0.8323928254753998,0.8319300518134715,0.8320419098292083,0.8117806364251862,0.8326388888888889,0.8220774768597875,0.8504034761018001,0.8313106796116505,0.8407486959189936,0.8474685224514563
